Unnamed: 0,image_filename,caption,label,confidence,new_label,classified_label
117,1006452823.jpg,Two children sit on a small seesaw in the sand .,sand,0.6196668148040771,desert,desert
181,101001624.jpg,""" The """" white out """" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood .""",snow,0.6028725504875183,glacier,glacier
185,101001624.jpg,A person riding a bike in snow .,snow,0.6553890705108643,glacier,glacier
237,1012212859.jpg,Dog with orange ball at feet  stands on shore shaking off water,beach,0.567427933,coast,coast
238,1012212859.jpg,A white dog shakes on the edge of a beach with an orange ball .,beach,0.7116544842720032,coast,coast
239,1012212859.jpg,White dog playing with a red ball on the shore near the water .,beach,0.8173546195030212,coast,coast
306,101654506.jpg,The white and brown dog is running over the surface of the snow .,snow,0.7412109971046448,glacier,glacier
307,101654506.jpg,a white and brown dog is running through a snow covered field .,snow,0.6856515407562256,glacier,glacier
308,101654506.jpg,A brown and white dog is running through the snow .,snow,0.633914053,glacier,glacier
309,101654506.jpg,A dog running through snow .,snow,0.7271862030029297,glacier,glacier
310,101654506.jpg,A dog is running in the snow,snow,0.8015012145042419,glacier,glacier
316,101669240.jpg,A person wearing skis looking at framed pictures set up in the snow .,snow,0.5976044535636902,glacier,glacier
320,101669240.jpg,Man on skis looking at artwork for sale in the snow,snow,0.7362143397331238,glacier,glacier
321,1016887272.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line .,mountain,0.4332537055015564,mountains,mountains
322,1016887272.jpg,Seven climbers are ascending a rock face whilst another man stands holding the rope .,mountain,0.5368688702583313,mountains,mountains
324,1016887272.jpg,A group of people climbing a rock while one man belays,mountain,0.3004692196846008,mountains,mountains
377,1021293940.jpg,Two men hiking in the snowy wilderness .,snow,0.7391729950904846,glacier,glacier
378,1021293940.jpg,Two hikers resting by a patch of snow .,snow,0.8763957619667053,glacier,glacier
380,1021293940.jpg,Two men hiking in the snow .,snow,0.8869460225105286,glacier,glacier
396,1022454332.jpg,a large lake with a lone duck swimming in it with several people around the edge of it .,lake,0.9032368659973145,coast,coast
398,1022454332.jpg,Two people are at the edge of a lake  facing the water and the city skyline .,lake,0.8012368679046631,coast,coast
400,1022454332.jpg,A little boy at a lake watching a duck .,lake,0.8530800938606262,coast,coast
403,1022454428.jpg,A couple with their newborn baby sitting under a tree facing a lake .,lake,0.8091813325881958,coast,coast
416,102351840.jpg,A man is drilling through the frozen ice of a pond .,lake,0.4989160597324371,coast,coast
417,102351840.jpg,A person in the snow drilling a hole in the ice .,snow,0.6833646893501282,glacier,coast
418,102351840.jpg,A person standing on a frozen lake .,lake,0.8383398652076721,coast,coast
421,1024138940.jpg,Two different breeds of brown and white dogs play on the beach .,beach,0.686836839,coast,coast
422,1024138940.jpg,Two dogs are making a turn on a soft sand beach .,sand,0.4960750341415405,desert,coast
423,1024138940.jpg,Two large tan dogs play along a sandy beach .,beach,0.5129943490028381,coast,coast
424,1024138940.jpg,Two dogs playing in the sand at the beach .,beach,0.709992528,coast,coast
425,1024138940.jpg,Two dogs playing together on a beach .,beach,0.7870917916297913,coast,coast
436,102520526.jpg,A man in black attire shovels snow into the street  disregarding all public safety .,snow,0.5839659571647644,glacier,glacier
437,102520526.jpg,Man in black jacket gray snow cap  shovels snow near a street with cars .,snow,0.5579183101654053,glacier,glacier
447,102617084.jpg,Five people wearing winter jackets and helmets stand in the snow  with snowmobiles in the background .,snow,0.6252106428146362,glacier,glacier
448,102617084.jpg,Five people wearing winter clothing  helmets  and ski goggles stand outside in the snow .,snow,0.8473831415176392,glacier,glacier
547,103205630.jpg,Two men are about to enter an ice fishing tent on a snow covered lake .,lake,0.4908286929130554,coast,coast
548,103205630.jpg,Two people standing outside a blue tent structure on a snowy surface .,snow,0.8581625819206238,glacier,coast
549,103205630.jpg,two men setting up a blue ice fishing hut on an iced over lake,lake,0.5966571569442749,coast,coast
591,10350842.jpg,A man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .,lake,0.762626588,coast,coast
592,10350842.jpg,A man wearing a life jacket is in a small boat on a lake with a ferry in view .,lake,0.5904451608657837,coast,coast
636,104136873.jpg,Three people are on a hilltop overlooking a green valley .,mountain,0.3203000128269195,mountains,mountains
637,104136873.jpg,People sit on the mountainside and check out the view .,mountain,0.6564251184463501,mountains,mountains
638,104136873.jpg,Three people rest on a ledge above the moutains .,mountain,0.6061819195747375,mountains,mountains
639,104136873.jpg,Three people hang out on top of a big hill .,mountain,0.8480239510536194,mountains,mountains
728,1047921035.jpg,Two individuals  a male and a female  standing in a forested area around a tub .,forest,0.8312591910362244,forest,forest
729,1047921035.jpg,Two people  one man and one women in the woods putting something in a tub .,forest,0.7021119594573975,forest,forest
746,1048710776.jpg,a couple of several people sitting on a ledge overlooking the beach,beach,0.6402971744537354,coast,coast
747,1048710776.jpg,Several young people sitting on a rail above a crowded beach .,beach,0.6757018566131592,coast,coast
748,1048710776.jpg,A group of people sit on a wall at the beach .,beach,0.8131315112113953,coast,coast
749,1048710776.jpg,A group of teens sit on a wall by a beach .,beach,0.6797318458557129,coast,coast
750,1048710776.jpg,Crowd of people at the beach .,beach,0.7961577773094177,coast,coast
751,1049955899.jpg,A group of men and women are hiking through a dried up river bed littered with large rocks  which runs between two rocky walls in a dense green forest .,forest,0.7078519463539124,forest,forest
806,1053804096.jpg,a girl with pigtails is playing in the ocean by the beach .,beach,0.6218910217285156,coast,coast
867,1056873310.jpg,A brown dog is running after a black dog on a rocky shore .,beach,0.5909459590911865,coast,coast
870,1056873310.jpg,Two dogs playing on a beach .,beach,0.7180664539337158,coast,coast
881,1057251835.jpg,A white dog is running down a rocky beach .,beach,0.7269617915153503,coast,coast
