Unnamed: 0,image_filename,caption,label,confidence
117,1006452823.jpg,Two children sit on a small seesaw in the sand .,sand,0.6196668148040771
181,101001624.jpg,""" The """" white out """" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood .""",snow,0.6028725504875183
185,101001624.jpg,A person riding a bike in snow .,snow,0.6553890705108643
237,1012212859.jpg,Dog with orange ball at feet  stands on shore shaking off water,beach,0.567427933216095
238,1012212859.jpg,A white dog shakes on the edge of a beach with an orange ball .,beach,0.7116544842720032
239,1012212859.jpg,White dog playing with a red ball on the shore near the water .,beach,0.8173546195030212
306,101654506.jpg,The white and brown dog is running over the surface of the snow .,snow,0.7412109971046448
307,101654506.jpg,a white and brown dog is running through a snow covered field .,snow,0.6856515407562256
308,101654506.jpg,A brown and white dog is running through the snow .,snow,0.633914053440094
309,101654506.jpg,A dog running through snow .,snow,0.7271862030029297
310,101654506.jpg,A dog is running in the snow,snow,0.8015012145042419
316,101669240.jpg,A person wearing skis looking at framed pictures set up in the snow .,snow,0.5976044535636902
320,101669240.jpg,Man on skis looking at artwork for sale in the snow,snow,0.7362143397331238
321,1016887272.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line .,mountain,0.4332537055015564
322,1016887272.jpg,Seven climbers are ascending a rock face whilst another man stands holding the rope .,mountain,0.5368688702583313
324,1016887272.jpg,A group of people climbing a rock while one man belays,mountain,0.3004692196846008
377,1021293940.jpg,Two men hiking in the snowy wilderness .,snow,0.7391729950904846
378,1021293940.jpg,Two hikers resting by a patch of snow .,snow,0.8763957619667053
380,1021293940.jpg,Two men hiking in the snow .,snow,0.8869460225105286
396,1022454332.jpg,a large lake with a lone duck swimming in it with several people around the edge of it .,lake,0.9032368659973145
398,1022454332.jpg,Two people are at the edge of a lake  facing the water and the city skyline .,lake,0.8012368679046631
400,1022454332.jpg,A little boy at a lake watching a duck .,lake,0.8530800938606262
403,1022454428.jpg,A couple with their newborn baby sitting under a tree facing a lake .,lake,0.8091813325881958
416,102351840.jpg,A man is drilling through the frozen ice of a pond .,lake,0.4989160597324371
417,102351840.jpg,A person in the snow drilling a hole in the ice .,snow,0.6833646893501282
